278	85
598	69
971	77
465	9
367	1
215	99
875	18
213	17
161	77
796	35
570	94
769	68
172	31
718	1
884	72
999	63
997	11
839	69
842	66
537	30
514	14
584	78
171	17
222	37
812	71
301	29
268	13
47	77
928	97
894	55
362	54
527	61
734	27
39	90
460	10
248	59
387	45
415	35
743	58
217	40
738	93
358	26
768	20
825	54
303	51
214	3
542	88
588	89
206	24
456	73
280	88
965	86
860	62
570	46
150	27
995	42
513	42
507	83
467	36
109	61
747	71
363	19
502	73
729	25
670	67
720	9
886	28
126	39
663	15
622	37
859	71
805	28
740	23
510	58
121	57
140	37
90	58
580	15
154	92
216	8
673	34
765	76
204	44
328	66
549	78
626	88
472	43
347	90
645	89
243	69
785	27
564	71
921	5
659	8
491	45
143	86
510	40
261	97
193	25
213	29
731	63
90	36
832	66
657	94
319	33
931	56
731	95
474	40
630	94
777	44
289	16
378	100
840	64
438	39
717	57
169	6
570	81
66	57
327	88
958	3
108	71
560	45
842	21
75	99
403	39
335	31
166	55
678	56
914	32
500	30
600	95
135	74
300	64
624	58
791	22
216	96
827	46
501	80
526	66
168	65
140	96
996	21
227	46
959	39
775	86
995	9
757	31
53	63
431	58
218	5
541	18
544	72
695	14
509	77
286	17
275	79
10	68
970	57
284	57
877	89
171	63
143	22
45	11
821	23
186	51
504	29
765	62
199	16
69	19
390	14
310	44
249	50
227	25
895	50
723	80
286	11
329	43
171	34
583	73
57	10
491	84
883	63
104	48
375	67
678	67
480	33
407	16
770	42
930	51
199	33
812	85
378	46
870	61
45	21
907	11
658	23
235	90
388	65
193	55
1000	61
837	2
260	7
675	18
45	67
666	74
45	57
207	69
855	31
750	26
953	94
891	86
110	43
964	92
19	30
732	17
218	26
571	25
890	50
119	89
40	46
733	41
962	69
66	39
103	35
88	60
222	44
552	48
801	7
247	21
722	53
289	52
482	55
581	28
936	94
533	98
831	75
144	86
678	78
742	93
934	97
562	38
805	68
571	46
20	6
833	58
886	19
478	56
531	48
337	62
80	13
299	56
643	83
545	75
870	25
261	85
373	92
445	2
449	40
843	77
261	93
106	74
552	35
717	37
189	23
829	79
866	75
652	81
23	22
139	21
741	55
993	85
282	83
88	26
181	91
361	98
641	91
953	84
862	25
624	6
854	2
787	45
579	22
587	29
522	63
307	78
444	78
149	52
271	67
76	94
472	39
389	32
738	8
949	50
215	98
135	74
388	63
30	36
180	52
427	71
322	42
548	3
246	4
762	1
27	39
835	95
279	81
297	11
145	5
461	27
866	24
256	45
699	40
243	41
929	10
681	24
175	42
594	60
684	22
815	85
815	100
924	89
290	73
702	70
593	78
427	19
666	83
184	98
579	64
803	27
251	83
826	7
799	100
407	90
585	98
203	41
192	18
96	4
997	37
719	79
86	41
6	2
622	15
197	82
953	63
288	28
378	22
980	99
637	80
169	16
778	35
269	60
691	69
339	25
930	81
28	23
43	73
258	12
669	10
633	29
841	93
980	45
412	1
10	30
961	87
470	37
313	95
204	35
309	37
959	81
468	67
35	38
623	98
10	94
95	63
280	7
405	95
534	3
465	77
405	8
37	14
513	23
493	35
308	52
877	67
354	61
552	97
259	60
221	54
491	37
494	8
568	91
470	46
997	20
117	53
21	93
256	90
310	37
390	11
686	72
171	8
783	35
885	83
853	79
111	4
395	33
146	10
358	71
824	23
79	82
591	1
909	30
207	20
612	70
138	51
185	4
807	65
311	14
376	93
873	92
934	64
306	5
457	75
461	36
219	45
7	21
373	40
556	44
111	52
155	35
222	28
649	51
705	74
531	72
575	1
643	37
939	49
396	40
798	82
235	42
995	17
833	16
490	92
282	61
162	10
992	28
263	28
463	91
781	90
615	48
734	95
748	83
834	98
409	87
590	85
12	43
955	65
717	69
316	86
381	51
378	97
475	4
375	48
144	89
224	50
521	15
818	43
140	32
236	67
742	30
267	32
83	84
116	94
737	17
458	96
982	72
982	93
364	1
242	6
467	66
883	71
643	92
20	92
952	62
385	23
472	32
37	14
790	82
390	56
908	61
141	20
82	8
551	89
739	80
243	14
140	78
402	64
802	87
993	100
482	98
106	99
